bed rooms,baths,square feet,address,price
2,1,1011,"11620 S Troy Drive Merrionette Park, IL 60803",220000
2,1,888,"9241 S UTICA Avenue Evergreen Park, IL 60805",200000
4,1,806,"9941 S Lowe Avenue Chicago, IL 60628",190000
2,1,700,"4546 W Barry Avenue 2 Chicago, IL 60641",179900
3,2,1544,"1118 E 90th Street Chicago, IL 60619",165000
2,1,900,"12608 S Ada Street Calumet Park, IL 60827",149500
1,1,880,"1755 E 55th Street 706 Chicago, IL 60615",55000
5,4,2213,"7830 W Sunset Drive Elmwood Park, IL 60707",547000
4,3,1858,"8456 W Brodman Avenue Chicago, IL 60656",485000
3,2,1200,"4855 N Springfield Avenue Unit 3 Chicago, IL 60625",239900
1,1,900,"1309 W Farwell Avenue Unit 1 Chicago, IL 60626",193000
1,1,750,"5300 S Shore Drive Unit 47 Chicago, IL 60615",95000
4,1,1260,"10805 S Edbrooke Avenue Chicago, IL 60628",30000
3,2,2856,"9118 S Marshfield Avenue Chicago, IL 60620",318000
6,6,7800,"2480 N Lakeview Avenue Chicago, IL 60614",5199000
6,4,6600,"3533 N Greenview Avenue Chicago, IL 60657",3725000
6,5,5400,"2127 N Clifton Street Chicago, IL 60614",3495000
3,4,2893,"211 N Harbor Drive 3102 Chicago, IL 60601",2495000
5,4,4000,"121 W DELAWARE Place Chicago, IL 60610",1740000
3,2,1574,"211 N Harbor Drive 1608 Chicago, IL 60601",1300000
4,3,4000,"2716 N Fairfield Avenue Chicago, IL 60647",1100000
3,2,2200,"1646 W Augusta Boulevard 2 Chicago, IL 60622",850000
4,3,2200,"4554 N Paulina Street 5 Chicago, IL 60640",850000
2,2,1600,"73 E ELM Street 4A Chicago, IL 60611",800000
2,2,1610,"55 E Erie Street 2801 Chicago, IL 60611",799900
3,2,1700,"1517 W Byron Street 2 Chicago, IL 60613",795500
2,2,1444,"1800 W Grace Street 527 Chicago, IL 60613",775000
2,2,1511,"150 W Superior Street 1004 Chicago, IL 60654",775000
3,2,2800,"2711 W Fitch Avenue Chicago, IL 60645",775000
3,2,2200,"3029 N Greenview Avenue B Chicago, IL 60657",749900
4,3,2600,"2327 W MEDILL Avenue 3 Chicago, IL 60647",749000
3,2,2833,"4945 N Keeler Avenue Chicago, IL 60630",724900
3,3,2775,"2234 N 77th Avenue Elmwood Park, IL 60707",699900
2,2,1325,"110 W SUPERIOR Street 1402 Chicago, IL 60654",629000
3,2,2100,"1344 N Wolcott Street 3 Chicago, IL 60622",625000
3,3,3000,"4134 N Clarendon Avenue 1N Chicago, IL 60613",595000
2,2,1716,"160 E ILLINOIS Street 1008 Chicago, IL 60611",574000
2,2,1300,"737 W Washington Boulevard 3004 Chicago, IL 60661",559000
3,2,2500,"3834 N Milwaukee Court Chicago, IL 60641",550000
3,2,2300,"1814 N Spaulding Avenue Chicago, IL 60647",525000
2,2,1300,"653 N Kingsbury Street 1905 Chicago, IL 60654",519000
2,2,1575,"1905 N Albany Avenue 2 Chicago, IL 60647",510000
3,1,1300,"2642 N Troy Street 3 Chicago, IL 60647",489999
2,1,1100,"1135 W Webster Avenue 3 Chicago, IL 60614",465000
2,2,1400,"2142 W CHICAGO Avenue 3 Chicago, IL 60622",449900
3,2,1800,"3200 N Lake Shore Drive 605 Chicago, IL 60657",445000
3,1,1650,"3216 N Pioneer Avenue Chicago, IL 60634",425000
3,3,2400,"5691 W Higgins Avenue 1W Chicago, IL 60630",424000
3,2,1650,"3150 N Lake Shore Drive 8E Chicago, IL 60657",410000
1,1,930,"1301 W WASHINGTON Boulevard 605 Chicago, IL 60607",405000
3,3,2700,"9020 S Throop Street Chicago, IL 60620",385000
2,1,1350,"1812 S Federal Street 1 Chicago, IL 60616",375000
2,1,1189,"1525 S MICHIGAN Avenue 111 Chicago, IL 60605",349888
3,2,1080,"2758 N Newcastle Avenue Chicago, IL 60707",339900
4,3,3237,"7935 S Kimbark Avenue Chicago, IL 60619",335000
4,1,1067,"4307 S TRUMBULL Avenue Chicago, IL 60632",333000
3,3,2686,"7642 S Eberhart Avenue Chicago, IL 60619",325000
3,2,2000,"4330 S Michigan Avenue 3N Chicago, IL 60653",324900
3,1,1035,"4949 W Oakdale Avenue Chicago, IL 60641",319900
1,1,860,"500 N Damen Avenue 207 Chicago, IL 60622",300000
3,2,1100,"6431 N Damen Avenue 1E Chicago, IL 60645",299500
4,2,2330,"4354 S Greenwood Avenue 1 Chicago, IL 60653",295000
3,3,1080,"8241 S Lasalle Street Chicago, IL 60620",289900
3,1,1214,"8642 S KENNETH Avenue Chicago, IL 60652",289900
2,2,1300,"1513 W Fargo Avenue 2N Chicago, IL 60626",274900
3,1,1300,"4130 N Kolmar Avenue Chicago, IL 60641",250000
3,1,2100,"5414 W 26TH Street Cicero, IL 60804",249000
3,1,1480,"2818 W Harrison Street A Chicago, IL 60612",245000
2,1,843,"7715 N Hermitage Avenue 2J Chicago, IL 60626",220000
4,1,1600,"12412 S ELIZABETH Street Calumet Park, IL 60827",219926
3,2,1200,"7415 W Fullerton Avenue Elmwood Park, IL 60707",199900
2,1,1000,"4665 N Lowell Avenue 3 Chicago, IL 60630",184900
2,1,878,"5200 S Ellis Avenue 203 Chicago, IL 60615",175000
1,1,680,"4960 N Marine Drive 1511 Chicago, IL 60640",170000
2,2,1100,"3001 S Michigan Avenue 602 Chicago, IL 60616",170000
2,2,938,"9619 S Euclid Avenue Chicago, IL 60617",160000
2,2,1248,"9521 S Union Avenue Chicago, IL 60628",160000
1,1,750,"7019 W Irving Park Road 8 Chicago, IL 60634",143900
1,1,700,"5306 N Cumberland Avenue 412 Chicago, IL 60656",139900
